UnionSize,Weighted,TestNum,Time
20000,0,15,0.076449
20000,0,16,0.073865
20000,0,17,0.072237
20000,0,18,0.080785
20000,0,19,0.082071
20000,0,20,0.076421
20000,0,21,0.076280
20000,0,22,0.071656
20000,0,23,0.068471
20000,0,24,0.077075
20000,0,25,0.069989
20000,0,26,0.068827
20000,0,27,0.078345
20000,0,28,0.079460
20000,0,29,0.072857
20000,0,30,0.078614
20000,0,31,0.076730
20000,0,32,0.072846
20000,0,33,0.074928
20000,0,34,0.085958
20000,0,35,0.080053
20000,0,36,0.075212
20000,0,37,0.077593
20000,0,38,0.077464
20000,0,39,0.073933
20000,0,40,0.071565
20000,0,41,0.085232
20000,0,42,0.075436
20000,0,43,0.072489
20000,0,44,0.067368
20000,0,45,0.080599
20000,0,46,0.073954
20000,0,47,0.087352
20000,0,48,0.069281
20000,0,49,0.071720
20000,0,50,0.075368
25000,1,1,0.119348
25000,1,2,0.094522
25000,1,3,0.095019
25000,1,4,0.081907
25000,1,5,0.076127
25000,1,6,0.074155
25000,1,7,0.079174
25000,1,8,0.075522
25000,1,9,0.074818
25000,1,10,0.079545
25000,1,11,0.102853
25000,1,12,0.099839
25000,1,13,0.089533
25000,1,14,0.092007
25000,1,15,0.093629
25000,1,16,0.095162
25000,1,17,0.096644
25000,1,18,0.101413
25000,1,19,0.087472
25000,1,20,0.101632
25000,1,21,0.094461
25000,1,22,0.091048
25000,1,23,0.122078
25000,1,24,0.099654
25000,1,25,0.101622
25000,1,26,0.093601
25000,1,27,0.103269
25000,1,28,0.098261
25000,1,29,0.091400
25000,1,30,0.091522
25000,1,31,0.092282
25000,1,32,0.106572
25000,1,33,0.094929
25000,1,34,0.102789
25000,1,35,0.090567
25000,1,36,0.098471
25000,1,37,0.112934
25000,1,38,0.104301
25000,1,39,0.091520
25000,1,40,0.105385
25000,1,41,0.107804
25000,1,42,0.098462
25000,1,43,0.090558
25000,1,44,0.099190
25000,1,45,0.095166
25000,1,46,0.100325
25000,1,47,0.083901
25000,1,48,0.095245
25000,1,49,0.090729
25000,1,50,0.096006
25000,0,1,0.097403
25000,0,2,0.104016
25000,0,3,0.092307
25000,0,4,0.100218
25000,0,5,0.095379
25000,0,6,0.082417
25000,0,7,0.087196
25000,0,8,0.094330
25000,0,9,0.092010
25000,0,10,0.094855
25000,0,11,0.090616
25000,0,12,0.086420
25000,0,13,0.097817
25000,0,14,0.097507
25000,0,15,0.097961
25000,0,16,0.099061
25000,0,17,0.091046
25000,0,18,0.094410
25000,0,19,0.088712
25000,0,20,0.091937
25000,0,21,0.084281
25000,0,22,0.089698
25000,0,23,0.094173
25000,0,24,0.096649
25000,0,25,0.106742
25000,0,26,0.095607
25000,0,27,0.081810
25000,0,28,0.093859
25000,0,29,0.084132
25000,0,30,0.102420
25000,0,31,0.082600
25000,0,32,0.098047
25000,0,33,0.089167
25000,0,34,0.096797
25000,0,35,0.091619
25000,0,36,0.094940
25000,0,37,0.092724
25000,0,38,0.085944
25000,0,39,0.094277
25000,0,40,0.087018
25000,0,41,0.089026
25000,0,42,0.096281
25000,0,43,0.091111
25000,0,44,0.090704
25000,0,45,0.096550
25000,0,46,0.087015
25000,0,47,0.096082
25000,0,48,0.097105
25000,0,49,0.089340
25000,0,50,0.088165
30000,1,1,0.091502
30000,1,2,0.108835
30000,1,3,0.117072
30000,1,4,0.106063
30000,1,5,0.091281
30000,1,6,0.094138
30000,1,7,0.087415
30000,1,8,0.086292
30000,1,9,0.098023
30000,1,10,0.128400
30000,1,11,0.118580
30000,1,12,0.109031
30000,1,13,0.111407
30000,1,14,0.104383
30000,1,15,0.110462
30000,1,16,0.108563
30000,1,17,0.102748
30000,1,18,0.117654
30000,1,19,0.116982
30000,1,20,0.124952
30000,1,21,0.123502
30000,1,22,0.119260
30000,1,23,0.127773
30000,1,24,0.121441
30000,1,25,0.120167
30000,1,26,0.116694
30000,1,27,0.112416
30000,1,28,0.112290
30000,1,29,0.122342
30000,1,30,0.109093
30000,1,31,0.112887
30000,1,32,0.116978
30000,1,33,0.111667
30000,1,34,0.112589
30000,1,35,0.114793
30000,1,36,0.116441
30000,1,37,0.116139
30000,1,38,0.118368
30000,1,39,0.115819
30000,1,40,0.114730
30000,1,41,0.113575
30000,1,42,0.102558
30000,1,43,0.113448
30000,1,44,0.104688
30000,1,45,0.113924
30000,1,46,0.119063
30000,1,47,0.119476
30000,1,48,0.114652
30000,1,49,0.104272
30000,1,50,0.109141
30000,0,1,0.117526
30000,0,2,0.118445
30000,0,3,0.107336
30000,0,4,0.110506
30000,0,5,0.120792
30000,0,6,0.109290
30000,0,7,0.109509
30000,0,8,0.102977
30000,0,9,0.118337
30000,0,10,0.106052
30000,0,11,0.106263
30000,0,12,0.106530
30000,0,13,0.116571
30000,0,14,0.117915
30000,0,15,0.108402
30000,0,16,0.107665
30000,0,17,0.115112
30000,0,18,0.113721
30000,0,19,0.127522
30000,0,20,0.122634
30000,0,21,0.103141
30000,0,22,0.119670
30000,0,23,0.114737
30000,0,24,0.124951
30000,0,25,0.098033
30000,0,26,0.121189
30000,0,27,0.109161
30000,0,28,0.102753
30000,0,29,0.109867
30000,0,30,0.114842
30000,0,31,0.107278
30000,0,32,0.112236
30000,0,33,0.115773
30000,0,34,0.109684
30000,0,35,0.116106
30000,0,36,0.114573
30000,0,37,0.106469
30000,0,38,0.109055
30000,0,39,0.116515
30000,0,40,0.105672
30000,0,41,0.105027
30000,0,42,0.115630
30000,0,43,0.106624
30000,0,44,0.108577
30000,0,45,0.106237
30000,0,46,0.107637
30000,0,47,0.117893
30000,0,48,0.112379
30000,0,49,0.104511
30000,0,50,0.107854
35000,1,1,0.114487
35000,1,2,0.101297
35000,1,3,0.127524
35000,1,4,0.119882
35000,1,5,0.112211
35000,1,6,0.111681
35000,1,7,0.096034
35000,1,8,0.129917
35000,1,9,0.130660
35000,1,10,0.121898
35000,1,11,0.128350
35000,1,12,0.122206
35000,1,13,0.139167
35000,1,14,0.130722
35000,1,15,0.139120
35000,1,16,0.139712
35000,1,17,0.172060
35000,1,18,0.143230
35000,1,19,0.148017
35000,1,20,0.149430
35000,1,21,0.142625
35000,1,22,0.125558
35000,1,23,0.146041
35000,1,24,0.127720
35000,1,25,0.130178
35000,1,26,0.126570
35000,1,27,0.143147
35000,1,28,0.123279
35000,1,29,0.129354
35000,1,30,0.129487
35000,1,31,0.133085
35000,1,32,0.118110
35000,1,33,0.136063
35000,1,34,0.141073
35000,1,35,0.136104
35000,1,36,0.132099
35000,1,37,0.134021
35000,1,38,0.132550
35000,1,39,0.137728
35000,1,40,0.123884
35000,1,41,0.114424
35000,1,42,0.126813
35000,1,43,0.128941
35000,1,44,0.139304
35000,1,45,0.128452
35000,1,46,0.140885
35000,1,47,0.139966
35000,1,48,0.139193
35000,1,49,0.131540
35000,1,50,0.125699
35000,0,1,0.134319
35000,0,2,0.127278
35000,0,3,0.129598
35000,0,4,0.137063
35000,0,5,0.130091
35000,0,6,0.122395
