UnionSize,Weighted,TestNum,Time
30000,0,16,0.000984
30000,0,17,0.000932
30000,0,18,0.000990
30000,0,19,0.001014
30000,0,20,0.000979
30000,0,21,0.001004
30000,0,22,0.001514
30000,0,23,0.001629
30000,0,24,0.001808
30000,0,25,0.001587
30000,0,26,0.001552
30000,0,27,0.001530
30000,0,28,0.001647
30000,0,29,0.001496
30000,0,30,0.001574
30000,0,31,0.001492
30000,0,32,0.001003
30000,0,33,0.001002
30000,0,34,0.001011
30000,0,35,0.000994
30000,0,36,0.000977
30000,0,37,0.001002
30000,0,38,0.000980
30000,0,39,0.000995
30000,0,40,0.000995
30000,0,41,0.001032
30000,0,42,0.000936
30000,0,43,0.001015
30000,0,44,0.000981
30000,0,45,0.000970
30000,0,46,0.001032
30000,0,47,0.001177
30000,0,48,0.001290
30000,0,49,0.001031
30000,0,50,0.001033
35000,1,1,0.001442
35000,1,2,0.001459
35000,1,3,0.001536
35000,1,4,0.001397
35000,1,5,0.001442
35000,1,6,0.001414
35000,1,7,0.001378
35000,1,8,0.001356
35000,1,9,0.001415
35000,1,10,0.001395
35000,1,11,0.001453
35000,1,12,0.001404
35000,1,13,0.001416
35000,1,14,0.002240
35000,1,15,0.001405
35000,1,16,0.001412
35000,1,17,0.001391
35000,1,18,0.001378
35000,1,19,0.001415
35000,1,20,0.001354
35000,1,21,0.001476
35000,1,22,0.001385
35000,1,23,0.001418
35000,1,24,0.001419
35000,1,25,0.001463
35000,1,26,0.001533
35000,1,27,0.001395
35000,1,28,0.001470
35000,1,29,0.001424
35000,1,30,0.001416
35000,1,31,0.001469
35000,1,32,0.001467
35000,1,33,0.001524
35000,1,34,0.001453
35000,1,35,0.001447
35000,1,36,0.001460
35000,1,37,0.001471
35000,1,38,0.001430
35000,1,39,0.001336
35000,1,40,0.001419
35000,1,41,0.001356
35000,1,42,0.001517
35000,1,43,0.001421
35000,1,44,0.001441
35000,1,45,0.001380
35000,1,46,0.001372
35000,1,47,0.001488
35000,1,48,0.001425
35000,1,49,0.001394
35000,1,50,0.001425
35000,0,1,0.001194
35000,0,2,0.001192
35000,0,3,0.001774
35000,0,4,0.001170
35000,0,5,0.001204
35000,0,6,0.001135
35000,0,7,0.001213
35000,0,8,0.001176
35000,0,9,0.001713
35000,0,10,0.001247
35000,0,11,0.001195
35000,0,12,0.001175
35000,0,13,0.001155
35000,0,14,0.001229
35000,0,15,0.001292
35000,0,16,0.001231
35000,0,17,0.001131
35000,0,18,0.001200
35000,0,19,0.001126
35000,0,20,0.001137
35000,0,21,0.001121
35000,0,22,0.001230
35000,0,23,0.001776
35000,0,24,0.001220
35000,0,25,0.001132
35000,0,26,0.001146
35000,0,27,0.001142
35000,0,28,0.001141
35000,0,29,0.001163
35000,0,30,0.001156
35000,0,31,0.001121
35000,0,32,0.001173
35000,0,33,0.001159
35000,0,34,0.001135
35000,0,35,0.001138
35000,0,36,0.001127
35000,0,37,0.001130
35000,0,38,0.001156
35000,0,39,0.001139
35000,0,40,0.001128
35000,0,41,0.001440
35000,0,42,0.001112
35000,0,43,0.001115
35000,0,44,0.001135
35000,0,45,0.001145
35000,0,46,0.001154
35000,0,47,0.001529
35000,0,48,0.001177
35000,0,49,0.001192
35000,0,50,0.001157
40000,1,1,0.001707
40000,1,2,0.001768
40000,1,3,0.001764
40000,1,4,0.001633
40000,1,5,0.001603
40000,1,6,0.001787
40000,1,7,0.001832
40000,1,8,0.001740
40000,1,9,0.001830
40000,1,10,0.001791
40000,1,11,0.001859
40000,1,12,0.001774
40000,1,13,0.001875
40000,1,14,0.001855
40000,1,15,0.001739
40000,1,16,0.001781
40000,1,17,0.001744
40000,1,18,0.001771
40000,1,19,0.001768
40000,1,20,0.001722
40000,1,21,0.001693
40000,1,22,0.001684
40000,1,23,0.001728
40000,1,24,0.001596
40000,1,25,0.001617
40000,1,26,0.001665
40000,1,27,0.001741
40000,1,28,0.001767
40000,1,29,0.001575
40000,1,30,0.001632
40000,1,31,0.001594
40000,1,32,0.001613
40000,1,33,0.001696
40000,1,34,0.001569
40000,1,35,0.001638
40000,1,36,0.001583
40000,1,37,0.001581
40000,1,38,0.001711
40000,1,39,0.001606
40000,1,40,0.001568
40000,1,41,0.001561
40000,1,42,0.001565
40000,1,43,0.001589
40000,1,44,0.001559
40000,1,45,0.001607
40000,1,46,0.001575
40000,1,47,0.001570
40000,1,48,0.001646
40000,1,49,0.001551
40000,1,50,0.001538
40000,0,1,0.001245
40000,0,2,0.001317
40000,0,3,0.001300
40000,0,4,0.001268
40000,0,5,0.001306
40000,0,6,0.001311
40000,0,7,0.001298
