UnionSize,Weighted,TestNum,Time
10000,1,37,0.000228
10000,1,38,0.000236
10000,1,39,0.000245
10000,1,40,0.000239
10000,1,41,0.000232
10000,1,42,0.000239
10000,1,43,0.000232
10000,1,44,0.000236
10000,1,45,0.000236
10000,1,46,0.000226
10000,1,47,0.000232
10000,1,48,0.000226
10000,1,49,0.000226
10000,1,50,0.000222
10000,0,1,0.000123
10000,0,2,0.000123
10000,0,3,0.000112
10000,0,4,0.000109
10000,0,5,0.000110
10000,0,6,0.000127
10000,0,7,0.000140
10000,0,8,0.000165
10000,0,9,0.000123
10000,0,10,0.000111
10000,0,11,0.000119
10000,0,12,0.000123
10000,0,13,0.000111
10000,0,14,0.000167
10000,0,15,0.000137
10000,0,16,0.000166
10000,0,17,0.000122
10000,0,18,0.000112
10000,0,19,0.000118
10000,0,20,0.000136
10000,0,21,0.000136
10000,0,22,0.000120
10000,0,23,0.000113
10000,0,24,0.000112
10000,0,25,0.000131
10000,0,26,0.000110
10000,0,27,0.000109
10000,0,28,0.000140
10000,0,29,0.000164
10000,0,30,0.000112
10000,0,31,0.000110
10000,0,32,0.000172
10000,0,33,0.000172
10000,0,34,0.000135
10000,0,35,0.000118
10000,0,36,0.000110
10000,0,37,0.000109
10000,0,38,0.000143
10000,0,39,0.000126
10000,0,40,0.000162
10000,0,41,0.000134
10000,0,42,0.000136
10000,0,43,0.000122
10000,0,44,0.000119
10000,0,45,0.000175
10000,0,46,0.000127
10000,0,47,0.000167
10000,0,48,0.000109
10000,0,49,0.000126
10000,0,50,0.000165
15000,1,1,0.000347
15000,1,2,0.000361
15000,1,3,0.000362
15000,1,4,0.000354
15000,1,5,0.000352
15000,1,6,0.000350
15000,1,7,0.000371
15000,1,8,0.000332
15000,1,9,0.000524
15000,1,10,0.000360
15000,1,11,0.000341
15000,1,12,0.000346
15000,1,13,0.000332
15000,1,14,0.000366
15000,1,15,0.000353
15000,1,16,0.000342
15000,1,17,0.000351
15000,1,18,0.000352
15000,1,19,0.000351
15000,1,20,0.000341
15000,1,21,0.000352
15000,1,22,0.000341
15000,1,23,0.000343
15000,1,24,0.000351
15000,1,25,0.000327
15000,1,26,0.000331
15000,1,27,0.000351
15000,1,28,0.000336
15000,1,29,0.000346
15000,1,30,0.000346
15000,1,31,0.000472
15000,1,32,0.000459
15000,1,33,0.000461
15000,1,34,0.000472
15000,1,35,0.000469
